"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Welington Castillo","White Sox","45","17.8 %","20.0 %","0.89",".171",".356",".371",".727",".200","0.1",".167","-0.2","-0.3","0.0","6","0.5",".329","111","3256"
"Ryon Healy","Mariners","90","6.7 %","20.0 %","0.33",".232",".278",".524",".802",".293","2.6",".230","-1.3","0.0","0.0","12","0.9",".329","114","15447"
"Tyler O'Neill","Cardinals","29","3.4 %","37.9 %","0.09",".286",".310",".464",".775",".179","1.9",".438","0.0","-0.1","0.0","4","0.3",".329","103","15711"
"Jonathan Villar","Orioles","90","8.9 %","18.9 %","0.47",".268",".333",".427",".760",".159","6.8",".306","0.3","0.3","0.1","12","0.8",".328","108","10071"
"Michael Perez","Rays","23","13.0 %","39.1 %","0.33",".250",".348",".400",".748",".150","2.6",".455","-0.7","0.1","0.0","3","0.2",".327","111","12977"
"Nicholas Castellanos","Tigers","68","8.8 %","29.4 %","0.30",".279",".338",".426",".764",".148","6.7",".405","0.2","0.3","0.2","9","0.6",".327","107","11737"
"Manuel Margot","Padres","60","1.7 %","16.7 %","0.10",".288",".300",".475",".775",".186","4.2",".319","-0.6","0.1","0.2","8","0.5",".327","102","14712"
"Giovanny Urshela","Yankees","28","10.7 %","21.4 %","0.50",".250",".357",".375",".732",".125","2.3",".333","0.0","0.0","0.0","4","0.2",".326","106","10681"
"Willians Astudillo","Twins","38","2.6 %","2.6 %","1.00",".286",".316",".457",".773",".171","2.6",".265","0.1","-0.9","0.0","5","0.3",".325","105","15608"
"Josh Reddick","Astros","54","5.6 %","11.1 %","0.50",".314",".352",".392",".744",".078","3.2",".341","-0.1","-0.4","0.2","7","0.4",".325","111","3892"
"Trevor Story","Rockies","81","7.4 %","24.7 %","0.30",".260",".321",".438",".759",".178","4.9",".300","0.4","0.2","-0.1","10","0.5",".325","84","12564"
"Danny Santana","Rangers","14","0.0 %","14.3 %","0.00",".286",".286",".500",".786",".214","10.0",".333","","","0.4","2","0.1",".325","98","10322"
"Max Kepler","Twins","69","10.1 %","20.3 %","0.50",".242",".319",".435",".754",".194","2.3",".267","-0.1","0.1","-0.9","9","0.4",".325","104","12144"
"Nomar Mazara","Rangers","61","8.2 %","16.4 %","0.50",".226",".328",".415",".743",".189","4.5",".244","-0.2","-0.2","0.0","8","0.3",".324","98","14553"
"Albert Pujols","Angels","68","14.7 %","11.8 %","1.25",".236",".353",".382",".735",".145","1.0",".234","-0.8","-0.2","0.0","9","0.3",".323","108","1177"
"Franmil Reyes","Padres","61","11.5 %","19.7 %","0.58",".212",".295",".481",".776",".269","0.1",".184","-0.4","0.0","0.0","8","0.3",".322","99","14566"
"Joey Votto","Reds","69","10.1 %","26.1 %","0.39",".230",".319",".426",".745",".197","1.8",".293","0.4","0.2","0.0","9","0.3",".322","95","4314"
"Brad Miller","Indians","40","10.0 %","25.0 %","0.40",".250",".325",".417",".742",".167","4.2",".320","0.4","0.1","0.2","5","0.1",".321","100","12775"
"Raimel Tapia","Rockies","44","6.8 %","31.8 %","0.21",".268",".318",".439",".757",".171","4.1",".407","0.0","0.1","-0.9","5","0.1",".321","81","14350"
"Eloy Jimenez","White Sox","75","6.7 %","29.3 %","0.23",".261",".320",".420",".740",".159","0.5",".341","0.0","0.2","0.0","9","0.2",".320","104","17484"
"Ryan O'Hearn","Royals","66","18.2 %","19.7 %","0.92",".189",".348",".377",".726",".189","1.2",".189","0.1","0.2","0.0","8","0.1",".320","101","16442"
"Corey Seager","Dodgers","82","12.2 %","19.5 %","0.63",".239",".341",".394",".736",".155","2.0",".283","0.1","0.3","0.0","10","0.1",".319","99","13624"
"Nolan Arenado","Rockies","84","8.3 %","8.3 %","1.00",".263",".321",".434",".756",".171","5.0",".254","0.1","-0.1","-0.3","10","0.1",".318","79","9777"
"Yonder Alonso","White Sox","72","16.7 %","15.3 %","1.09",".200",".333",".383",".717",".183","1.3",".196","0.0","0.1","0.0","9","0.0",".317","103","2530"
"Mark Reynolds","Rockies","45","15.6 %","33.3 %","0.47",".200",".333",".400",".733",".200","3.5",".250","-0.1","0.1","0.2","5","0.0",".317","79","7619"
"Logan Forsythe","Rangers","45","13.3 %","17.8 %","0.75",".243",".364",".324",".688",".081","2.6",".310","0.4","0.0","0.0","5","-0.1",".314","91","7185"
"Justin Turner","Dodgers","80","11.3 %","20.0 %","0.56",".284",".375",".313",".688",".030","1.3",".358","-0.3","-0.3","0.0","9","-0.3",".313","95","5235"
"Harrison Bader","Cardinals","50","16.0 %","28.0 %","0.57",".179",".347",".359",".706",".179","2.3",".217","-0.8","0.2","-0.4","6","-0.2",".312","92","18030"
"Miguel Rojas","Marlins","55","7.3 %","3.6 %","2.00",".286",".345",".367",".713",".082","1.3",".292","0.0","0.0","0.0","6","-0.2",".312","95","7802"
"Teoscar Hernandez","Blue Jays","73","11.0 %","21.9 %","0.50",".250",".329",".406",".735",".156","4.9",".298","0.5","0.0","-0.2","9","-0.3",".312","98","13066"
"Tony Wolters","Rockies","39","2.6 %","10.3 %","0.25",".289",".308",".421",".729",".132","0.6",".324","0.1","0.1","0.0","5","-0.2",".311","75","11470"
"Mike Tauchman","Yankees","25","12.0 %","36.0 %","0.33",".182",".280",".455",".735",".273","1.6",".250","0.0","0.1","0.0","3","-0.1",".311","95","15274"
"Dexter Fowler","Cardinals","61","11.5 %","27.9 %","0.41",".264",".361",".321",".681",".057","2.9",".389","-0.3","0.1","-0.7","7","-0.4",".310","91","4062"
"Jake Lamb","Diamondbacks","18","16.7 %","33.3 %","0.50",".267",".389",".333",".722",".067","0.4",".444","0.0","0.0","0.0","2","-0.1",".308","86","13329"
"Stephen Piscotty","Athletics","88","10.2 %","21.6 %","0.47",".228",".307",".405",".712",".177","0.6",".263","0.0","-0.2","0.0","10","-0.7",".308","97","13367"
"Matt Carpenter","Cardinals","80","12.5 %","23.8 %","0.53",".203",".300",".420",".720",".217","3.9",".229","0.1","0.3","0.0","9","-0.6",".308","89","8090"
"Rio Ruiz","Orioles","69","14.5 %","23.2 %","0.63",".224",".333",".362",".695",".138","0.7",".268","0.7","-0.4","0.0","8","-0.5",".308","94","14103"
"Renato Nunez","Orioles","75","5.3 %","24.0 %","0.22",".271",".320",".400",".720",".129","2.6",".340","0.3","0.0","-0.4","8","-0.6",".307","94","14503"
"Pablo Sandoval","Giants","27","0.0 %","25.9 %","0.00",".259",".259",".481",".741",".222","2.6",".350","-0.3","-0.1","0.0","3","-0.2",".307","90","5409"
"Hunter Pence","Rangers","31","6.5 %","16.1 %","0.40",".276",".323",".379",".702",".103","5.9",".304","0.2","0.0","0.2","3","-0.3",".307","86","8252"
"Jason Kipnis","Indians","12","8.3 %","8.3 %","1.00",".273",".333",".364",".697",".091","5.5",".300","","","0.2","1","-0.1",".306","89","9776"
"Kevin Newman","Pirates","12","8.3 %","25.0 %","0.33",".273",".333",".364",".697",".091","0.1",".375","0.2","0.1","0.0","1","-0.1",".306","88","17696"
"Jake Bauers","Indians","60","11.7 %","16.7 %","0.70",".226",".317",".377",".694",".151","3.3",".244","0.3","-0.1","-0.2","7","-0.6",".305","88","15194"
"Blake Swihart","Red Sox","29","6.9 %","24.1 %","0.29",".231",".310",".385",".695",".154","2.2",".278","0.1","0.1","0.0","3","-0.3",".304","87","13176"
"Matt Wieters","Cardinals","11","0.0 %","36.4 %","0.00",".333",".364",".333",".697",".000","3.0",".500","0.0","0.0","-0.2","1","-0.1",".304","87","4298"
"Aledmys Diaz","Astros","24","4.2 %","20.8 %","0.20",".217",".250",".478",".728",".261","2.6",".188","0.0","0.1","0.0","3","-0.3",".304","96","15937"
"Tyler White","Astros","35","17.1 %","28.6 %","0.60",".241",".371",".276",".647",".034","0.1",".368","0.0","-0.2","0.0","4","-0.4",".304","96","15564"
"Ben Zobrist","Cubs","58","15.5 %","12.1 %","1.29",".271",".379",".271",".650",".000","0.9",".310","-0.1","-0.5","0.0","6","-0.7",".304","85","7435"
"Delino DeShields","Rangers","57","17.5 %","17.5 %","1.00",".200",".357",".289",".646",".089","5.8",".235","0.2","-0.1","0.8","6","-0.7",".303","84","11379"
"Jonathan Schoop","Twins","56","5.4 %","23.2 %","0.23",".235",".304",".392",".696",".157","2.4",".278","0.1","0.2","0.0","6","-0.7",".303","89","11265"
"Odubel Herrera","Phillies","69","7.2 %","17.4 %","0.42",".270",".319",".381",".700",".111","2.0",".314","0.3","0.3","-0.4","8","-0.8",".303","85","11476"
"Lucas Duda","Royals","43","18.6 %","23.3 %","0.80",".176",".326",".382",".708",".206","0.1",".174","0.0","0.0","0.0","5","-0.5",".302","89","2502"
"David Fletcher","Angels","60","6.7 %","5.0 %","1.33",".268",".317",".393",".710",".125","5.1",".269","0.0","-0.1","0.4","6","-0.8",".301","93","17992"
"Brett Gardner","Yankees","77","10.4 %","11.7 %","0.89",".191",".286",".412",".697",".221","5.0",".164","-0.9","0.2","0.0","8","-1.0",".301","88","9927"
"Nick Ahmed","Diamondbacks","76","3.9 %","25.0 %","0.16",".282",".303",".423",".725",".141","5.9",".358","0.5","-0.2","0.4","8","-1.1",".300","81","12147"
"Rafael Devers","Red Sox","75","10.7 %","17.3 %","0.62",".262",".351",".308",".659",".046","5.1",".327","0.8","0.2","0.4","8","-1.1",".300","84","17350"
"Dee Gordon","Mariners","82","6.1 %","14.6 %","0.42",".288",".325",".370",".695",".082","8.1",".323","0.6","0.2","1.1","9","-1.2",".300","94","8203"
"Neil Walker","Marlins","59","6.8 %","25.4 %","0.27",".222",".288",".407",".696",".185","3.2",".250","-0.1","-0.4","0.2","6","-0.8",".300","87","7539"
"Kris Bryant","Cubs","74","9.5 %","24.3 %","0.39",".219",".324",".344",".668",".125","5.1",".289","0.3","0.4","0.2","8","-1.1",".300","82","15429"
"Chris Iannetta","Rockies","33","9.1 %","42.4 %","0.21",".207",".303",".379",".682",".172","0.3",".357","-0.6","-0.2","0.0","4","-0.5",".299","67","8267"
"A.J. Pollock","Dodgers","86","5.8 %","15.1 %","0.38",".256",".302",".397",".700",".141","4.6",".277","0.7","-0.5","-0.5","9","-1.3",".299","86","9256"
"Leury Garcia","White Sox","75","5.3 %","28.0 %","0.19",".268",".307",".380",".687",".113","6.7",".367","-0.8","0.1","0.8","8","-1.2",".298","89","5913"
"Jesse Winker","Reds","60","6.7 %","20.0 %","0.33",".182",".250",".455",".705",".273","2.6",".132","0.1","0.1","-0.4","6","-1.0",".297","79","13590"
"Ben Gamel","Brewers","40","12.5 %","27.5 %","0.45",".235",".350",".324",".674",".088","1.9",".348","0.1","0.1","0.0","4","-0.7",".297","79","12160"
"Willy Adames","Rays","70","7.1 %","31.4 %","0.23",".250",".314",".359",".674",".109","2.3",".366","0.7","0.2","0.0","7","-1.2",".296","89","15986"
"Miguel Cabrera","Tigers","78","10.3 %","24.4 %","0.42",".265",".346",".309",".655",".044","1.0",".360","-0.4","0.1","0.0","8","-1.4",".296","86","1744"
"Wilmer Difo","Nationals","55","10.9 %","23.6 %","0.46",".229",".315",".375",".690",".146","1.6",".273","-0.2","0.2","0.0","6","-1.0",".296","78","14320"
"Ketel Marte","Diamondbacks","79","2.5 %","20.3 %","0.13",".237",".253",".461",".714",".224","6.9",".246","0.2","-0.2","0.4","8","-1.4",".296","78","13613"
"Kole Calhoun","Angels","76","10.5 %","25.0 %","0.42",".191",".276",".412",".688",".221","2.5",".200","0.1","0.1","-0.4","8","-1.4",".295","89","11200"
"Pedro Severino","Orioles","27","7.4 %","22.2 %","0.33",".208",".296",".375",".671",".167","0.6",".235","0.0","0.1","0.0","3","-0.5",".295","85","14523"
"Jose Iglesias","Reds","44","9.1 %","20.5 %","0.44",".250",".318",".400",".718",".150","1.6",".300","-0.1","-0.2","-0.9","4","-0.9",".294","76","10231"
"Joey Rickard","Orioles","58","10.3 %","27.6 %","0.38",".212",".293",".385",".678",".173","4.9",".286","-0.2","0.2","-0.7","6","-1.2",".293","84","13277"
"Amed Rosario","Mets","77","6.5 %","28.6 %","0.23",".264",".312",".375",".687",".111","5.7",".367","-0.2","0.0","0.0","8","-1.5",".293","84","15518"
"Matt Adams","Nationals","25","0.0 %","40.0 %","0.00",".208",".200",".542",".742",".333","0.1",".231","0.0","-0.2","0.0","3","-0.5",".293","76","9393"
"Mookie Betts","Red Sox","82","12.2 %","18.3 %","0.67",".200",".305",".371",".676",".171","4.8",".208","-1.0","-0.1","0.2","8","-1.8",".292","78","13611"
"Rowdy Tellez","Blue Jays","53","7.5 %","35.8 %","0.21",".191",".283",".383",".666",".191","1.4",".240","0.1","0.0","0.0","5","-1.2",".291","83","15679"
"Luke Maile","Blue Jays","25","8.0 %","32.0 %","0.25",".217",".280",".391",".671",".174","1.6",".286","0.3","0.1","0.0","2","-0.6",".289","82","13355"
"Kevin Plawecki","Indians","22","9.1 %","13.6 %","0.67",".200",".273",".400",".673",".200","0.8",".188","0.0","0.1","0.0","2","-0.5",".289","77","13807"
"Ramon Laureano","Athletics","74","4.1 %","28.4 %","0.14",".243",".284",".386",".669",".143","3.6",".304","0.7","0.4","-0.2","7","-1.7",".289","84","17128"
"Juan Lagares","Mets","36","8.3 %","33.3 %","0.25",".219",".306",".344",".649",".125","5.7",".316","0.1","0.1","0.4","4","-0.9",".289","81","5384"
"Justin Bour","Angels","59","15.3 %","27.1 %","0.56",".184",".322",".306",".628",".122","0.6",".250","0.0","-0.2","0.0","6","-1.4",".288","84","9744"
"Anthony Rizzo","Cubs","77","15.6 %","19.5 %","0.80",".159",".312",".317",".629",".159","2.6",".156","0.6","0.3","0.0","7","-1.9",".288","75","3473"
"Orlando Arcia","Brewers","66","7.6 %","22.7 %","0.33",".230",".288",".393",".681",".164","1.9",".256","0.3","-0.4","0.0","6","-1.6",".288","73","13185"
"Robbie Grossman","Athletics","58","8.6 %","20.7 %","0.42",".245",".310",".340",".650",".094","4.3",".300","0.0","0.0","0.0","6","-1.4",".287","83","5254"
"Eric Thames","Brewers","34","2.9 %","47.1 %","0.06",".226",".265",".419",".684",".194","0.6",".357","0.0","0.2","0.0","3","-0.8",".287","73","3711"
"C.J. Cron","Twins","51","5.9 %","21.6 %","0.27",".229",".275",".396",".670",".167","1.1",".257","0.4","-0.1","0.0","5","-1.3",".287","78","12546"
"Brian Anderson","Marlins","78","11.5 %","28.2 %","0.41",".217",".308",".333",".641",".116","3.2",".289","0.1","-0.1","0.4","7","-2.0",".286","78","18289"
"Steven Duggar","Giants","86","3.5 %","31.4 %","0.11",".238",".267",".413",".680",".175","2.7",".308","-0.2","0.1","-0.7","8","-2.3",".286","76","17719"
"Yan Gomes","Nationals","44","6.8 %","31.8 %","0.21",".225",".295",".350",".645",".125","0.7",".320","-0.6","0.0","0.0","4","-1.2",".284","71","9627"
"Eduardo Escobar","Diamondbacks","78","7.7 %","24.4 %","0.32",".229",".308",".329",".636",".100","1.3",".300","-1.3","0.1","0.0","7","-2.2",".284","70","6153"
"Carson Kelly","Diamondbacks","36","2.8 %","25.0 %","0.11",".235",".278",".382",".660",".147","1.6",".320","0.0","-0.1","0.0","3","-1.0",".284","70","13620"
"Jonathan Lucroy","Angels","58","5.2 %","10.3 %","0.50",".291",".328",".309",".637",".018","1.5",".327","0.0","-0.2","0.0","5","-1.6",".284","81","7870"
"Christian Vazquez","Red Sox","47","4.3 %","19.1 %","0.22",".200",".234",".467",".701",".267","5.2",".182","0.2","-0.1","-0.2","4","-1.4",".282","72","9774"
"Starling Marte","Pirates","70","2.9 %","18.6 %","0.15",".215",".261",".400",".661",".185","8.2",".240","0.6","-0.4","0.2","6","-2.1",".282","72","9241"
"Hanley Ramirez","Indians","57","14.0 %","29.8 %","0.47",".184",".298",".327",".625",".143","0.4",".233","0.5","0.2","0.0","5","-1.7",".281","71","8001"
"Tyler Naquin","Indians","48","2.1 %","31.3 %","0.07",".255",".271",".383",".654",".128","4.1",".355","0.0","0.0","0.2","4","-1.5",".279","70","13359"
"Greg Garcia","Padres","17","11.8 %","17.6 %","0.67",".200",".294",".333",".627",".133","2.0",".250","0.3","0.1","0.0","2","-0.6",".278","71","10951"
"Jordy Mercer","Tigers","47","6.4 %","23.4 %","0.27",".233",".298",".326",".623",".093","0.5",".313","-0.2","0.1","0.0","4","-1.6",".276","72","6547"
"Gerardo Parra","Giants","64","7.8 %","20.3 %","0.38",".232",".313",".339",".652",".107","4.3",".279","-0.4","0.2","0.2","6","-2.2",".276","70","8553"
"Kyle Schwarber","Cubs","61","8.2 %","31.1 %","0.26",".196",".262",".375",".637",".179","2.3",".235","0.1","-0.2","-0.4","5","-2.1",".275","67","16478"
"Mallex Smith","Mariners","84","9.5 %","28.6 %","0.33",".216",".298",".324",".622",".108","9.0",".300","1.0","0.2","0.7","7","-3.0",".275","77","13608"
"Nick Williams","Phillies","16","6.3 %","37.5 %","0.17",".214",".313",".286",".598",".071","1.1",".375","0.0","0.0","0.0","1","-0.6",".275","67","14330"
"Kenta Maeda","Dodgers","11","0.0 %","27.3 %","0.00",".222",".222",".444",".667",".222","2.6",".333","","","0.0","1","-0.4",".274","70","18498"
"Tony Kemp","Astros","33","12.1 %","18.2 %","0.67",".179",".303",".286",".589",".107","6.0",".190","0.1","-0.1","0.2","3","-1.2",".272","74","14894"
"Ryan Zimmerman","Nationals","62","14.5 %","16.1 %","0.90",".192",".306",".288",".595",".096","0.6",".214","-0.3","0.0","0.0","5","-2.4",".271","62","4220"
"Ender Inciarte","Braves","66","9.1 %","21.2 %","0.43",".203",".288",".322",".610",".119","6.1",".250","0.3","0.0","0.0","5","-2.5",".271","62","4922"
"Austin Dean","Marlins","23","0.0 %","39.1 %","0.00",".227",".217",".455",".672",".227","2.6",".308","","","0.0","2","-0.9",".270","68","18288"
"Billy McKinney","Blue Jays","64","7.8 %","23.4 %","0.33",".207",".281",".328",".609",".121","1.9",".262","-0.4","0.1","0.0","5","-2.6",".269","68","15654"
"Hanser Alberto","Orioles","43","2.3 %","11.6 %","0.20",".286",".302",".310",".612",".024","0.1",".324","0.2","0.2","0.0","3","-1.7",".269","67","11902"
"Jose Abreu","White Sox","79","10.1 %","27.8 %","0.36",".174",".266",".348",".614",".174","5.0",".200","-0.1","-0.1","0.4","6","-3.2",".268","68","15676"
"Wilmer Flores","Diamondbacks","55","5.5 %","10.9 %","0.50",".235",".291",".314",".605",".078","2.0",".267","-0.1","-0.1","0.0","4","-2.3",".268","60","5827"
"Andrelton Simmons","Angels","76","1.3 %","10.5 %","0.13",".253",".263",".360",".623",".107","4.8",".273","0.0","-0.1","0.4","6","-3.2",".266","69","10847"
"Evan Longoria","Giants","76","2.6 %","21.1 %","0.13",".219",".250",".370",".620",".151","6.0",".255","-0.3","0.2","0.2","6","-3.3",".264","62","9368"
"Yadier Molina","Cardinals","69","4.3 %","8.7 %","0.50",".227",".261",".348",".609",".121","1.0",".237","0.7","0.1","0.0","5","-3.1",".263","60","7007"
"Kendrys Morales","Athletics","53","9.4 %","15.1 %","0.63",".200",".302",".267",".569",".067","1.0",".216","0.2","0.2","0.0","4","-2.4",".262","65","8610"
"Marwin Gonzalez","Twins","49","10.2 %","24.5 %","0.42",".205",".286",".295",".581",".091","0.5",".258","-0.6","0.1","0.0","4","-2.3",".261","60","5497"
"Travis Shaw","Brewers","74","10.8 %","31.1 %","0.35",".203",".311",".281",".592",".078","0.5",".300","0.2","-0.3","0.0","6","-3.5",".261","56","11982"
"Kyle Farmer","Reds","18","0.0 %","27.8 %","0.00",".118",".167",".471",".637",".353","0.1",".000","0.0","0.1","0.0","1","-0.8",".261","56","14813"
"Jeimer Candelario","Tigers","71","9.9 %","23.9 %","0.41",".222",".310",".270",".580",".048","3.4",".304","-0.2","0.3","0.2","5","-3.4",".260","61","13621"
"Buster Posey","Giants","63","11.1 %","19.0 %","0.58",".196",".286",".286",".571",".089","0.6",".250","-1.1","0.1","0.0","5","-3.1",".258","58","9166"
"Chris Owings","Royals","68","8.8 %","30.9 %","0.29",".194",".265",".323",".587",".129","7.2",".275","0.2","0.2","0.2","5","-3.4",".258","58","10030"
"Billy Hamilton","Royals","57","10.5 %","19.3 %","0.55",".240",".316",".240",".556",".000","6.2",".300","0.3","0.1","0.4","4","-2.9",".257","58","10199"
"Dylan Moore","Mariners","29","6.9 %","44.8 %","0.15",".160",".276",".280",".556",".120","5.7",".273","0.0","-0.6","0.2","2","-1.5",".257","64","18042"
"Greg Bird","Yankees","41","14.6 %","39.0 %","0.38",".171",".293",".257",".550",".086","2.4",".278","0.3","-0.1","0.0","3","-2.1",".256","57","14131"
"John Hicks","Tigers","38","5.3 %","28.9 %","0.18",".194",".237",".361",".598",".167","3.9",".250","0.0","0.1","0.2","3","-2.0",".255","58","12547"
"Austin Hedges","Padres","47","4.3 %","27.7 %","0.15",".186",".255",".349",".604",".163","0.1",".214","-0.4","0.2","0.0","3","-2.4",".255","56","12976"
"Robinson Cano","Mets","79","6.3 %","22.8 %","0.28",".192",".253",".329",".582",".137","1.0",".226","0.1","-0.1","0.0","5","-4.1",".254","59","3269"
"Jurickson Profar","Athletics","81","4.9 %","14.8 %","0.33",".200",".247",".347",".594",".147","7.6",".210","-0.4","0.0","0.6","6","-4.2",".254","60","10815"
"Curtis Granderson","Marlins","56","14.3 %","32.1 %","0.44",".149",".268",".298",".566",".149","1.4",".179","-0.5","0.1","-0.4","4","-2.9",".254","58","4747"
"Starlin Castro","Marlins","79","6.3 %","19.0 %","0.33",".216",".266",".311",".577",".095","1.2",".246","-0.4","-0.5","0.0","5","-4.2",".254","58","4579"
"Chris Taylor","Dodgers","54","11.1 %","25.9 %","0.43",".170",".278",".277",".554",".106","3.0",".219","0.2","0.0","0.2","4","-2.9",".254","57","13757"
"Charlie Blackmon","Rockies","84","6.0 %","19.0 %","0.31",".221",".274",".299",".573",".078","5.5",".274","-1.2","-0.4","0.2","6","-4.6",".252","37","7859"
"Ryan Braun","Brewers","69","4.3 %","26.1 %","0.17",".185",".221",".369",".590",".185","1.1",".205","0.4","0.1","0.0","4","-3.9",".250","49","3410"
"Scott Schebler","Reds","55","10.9 %","27.3 %","0.40",".163",".255",".306",".561",".143","1.1",".188","-0.2","0.1","0.0","4","-3.1",".250","48","12225"
"Joe Panik","Giants","61","9.8 %","6.6 %","1.50",".208",".295",".245",".540",".038","1.4",".220","0.0","0.0","-0.4","4","-3.5",".249","53","11936"
"Jose Martinez","Cardinals","38","0.0 %","26.3 %","0.00",".263",".263",".316",".579",".053","2.0",".357","-0.1","0.2","0.0","2","-2.2",".249","52","7996"
"Ildemaro Vargas","Diamondbacks","25","0.0 %","12.0 %","0.00",".200",".200",".400",".600",".200","2.6",".190","0.1","-0.2","0.0","2","-1.4",".248","48","13324"
"JaCoby Jones","Tigers","23","0.0 %","13.0 %","0.00",".200",".304",".200",".504",".000","6.7",".235","","","0.2","1","-1.4",".246","51","14818"
"Roberto Perez","Indians","43","11.6 %","34.9 %","0.33",".162",".256",".297",".553",".135","0.1",".227","-0.2","0.0","0.0","3","-2.6",".245","47","2900"
"Eric Hosmer","Padres","78","9.0 %","21.8 %","0.41",".197",".269",".282",".551",".085","1.4",".245","-0.1","0.2","0.0","5","-4.9",".242","48","3516"
"Erik Gonzalez","Pirates","56","10.7 %","21.4 %","0.50",".208",".296",".292",".588",".083","6.4",".278","-0.4","0.1","0.4","3","-3.6",".240","46","13369"
"Jacob Stallings","Pirates","11","0.0 %","27.3 %","0.00",".273",".273",".273",".545",".000","1.6",".375","0.0","0.0","0.0","1","-0.7",".239","45","13723"
"Mike Zunino","Rays","53","3.8 %","24.5 %","0.15",".196",".226",".333",".560",".137","4.1",".263","-0.4","0.1","0.0","3","-3.5",".238","49","13265"
"Erik Kratz","Giants","26","7.7 %","7.7 %","1.00",".136",".269",".227",".497",".091","0.1",".150","-0.3","0.0","0.0","1","-1.7",".237","45","4403"
"Keon Broxton","Mets","34","11.8 %","41.2 %","0.29",".200",".294",".200",".494",".000","6.2",".375","0.0","0.1","0.4","2","-2.3",".236","47","9253"
"Jordan Luplow","Indians","17","11.8 %","47.1 %","0.25",".200",".294",".200",".494",".000","2.0",".429","0.1","0.1","0.0","1","-1.2",".236","40","16424"
"Lourdes Gurriel Jr.","Blue Jays","44","6.8 %","27.3 %","0.25",".175",".250",".275",".525",".100","3.1",".250","-0.3","-0.3","-0.2","2","-3.0",".235","44","19238"
"Martin Maldonado","Royals","57","7.0 %","15.8 %","0.44",".180",".268",".240",".508",".060","1.9",".220","-0.1","0.1","0.0","3","-3.9",".235","42","6887"
"Grayson Greiner","Tigers","53","3.8 %","22.6 %","0.17",".220",".264",".260",".524",".040","1.4",".289","0.3","-0.3","0.0","3","-3.6",".235","43","17062"
"Kevan Smith","Angels","21","9.5 %","14.3 %","0.67",".118",".286",".176",".462",".059","2.6",".143","-0.1","0.0","0.0","1","-1.4",".235","47","12284"
"Yasiel Puig","Reds","58","3.4 %","25.9 %","0.13",".179",".207",".339",".546",".161","4.1",".205","-0.1","-0.2","0.0","3","-4.1",".232","37","14225"
"Kevin Pillar","- - -","74","1.4 %","17.6 %","0.08",".174",".189",".377",".566",".203","7.2",".145","0.4","-0.4","0.6","4","-5.3",".231","39","12434"
"Jesus Sucre","Orioles","50","6.0 %","16.0 %","0.38",".213",".260",".255",".515",".043","1.0",".256","0.0","0.1","0.0","2","-3.6",".231","40","5942"
"Austin Romine","Yankees","28","3.6 %","25.0 %","0.14",".192",".222",".308",".530",".115","2.0",".222","0.0","0.1","0.0","1","-2.1",".229","38","5491"
"Jedd Gyorko","Cardinals","10","20.0 %","40.0 %","0.50",".125",".300",".125",".425",".000","2.6",".250","0.0","0.0","0.0","0","-0.8",".226","37","10816"
"Manny Pina","Brewers","17","17.6 %","29.4 %","0.60",".143",".294",".143",".437",".000","0.8",".222","0.3","-0.2","0.0","1","-1.3",".225","33","2829"
"Jason Castro","Twins","21","14.3 %","19.0 %","0.75",".167",".286",".167",".452",".000","1.6",".214","0.0","0.1","0.0","1","-1.6",".224","34","8722"
"Lewis Brinson","Marlins","66","3.0 %","31.8 %","0.10",".194",".242",".258",".500",".065","1.8",".293","0.1","-0.3","-0.4","3","-5.2",".224","38","14352"
"Brandon Crawford","Giants","75","6.7 %","26.7 %","0.25",".203",".267",".232",".499",".029","0.8",".286","0.4","0.3","0.0","3","-5.9",".222","35","5343"
"Brian Dozier","Nationals","55","5.5 %","25.5 %","0.21",".176",".236",".255",".491",".078","3.7",".222","-0.1","0.1","-0.2","2","-4.4",".221","30","9810"
"Ian Kinsler","Padres","62","11.3 %","19.4 %","0.58",".145",".242",".236",".478",".091","3.0",".167","-1.1","-0.1","-0.2","3","-5.0",".221","34","6195"
"Rougned Odor","Rangers","47","8.5 %","31.9 %","0.27",".167",".255",".214",".470",".048","4.3",".259","-0.4","0.2","-0.7","2","-3.8",".220","26","12282"
"Jung Ho Kang","Pirates","50","8.0 %","38.0 %","0.21",".130",".200",".304",".504",".174","0.1",".160","-0.2","-0.3","0.0","2","-4.1",".219","32","17182"
"Yangervis Solarte","Giants","47","6.4 %","21.3 %","0.30",".186",".239",".279",".518",".093","2.4",".242","0.3","-0.4","0.0","2","-3.9",".218","33","5352"
"Richie Martin Jr.","Orioles","52","9.6 %","34.6 %","0.28",".152",".250",".217",".467",".065","7.5",".250","-1.7","-0.1","0.2","2","-4.3",".218","32","17736"
"Albert Almora Jr.","Cubs","53","9.4 %","17.0 %","0.56",".213",".288",".213",".501",".000","4.7",".263","0.4","0.1","0.4","2","-4.5",".217","29","14109"
"Adam Engel","White Sox","28","7.1 %","35.7 %","0.20",".120",".185",".320",".505",".200","5.0",".143","0.0","-0.2","-0.4","1","-2.4",".216","32","15082"
